Rental_state,Start,End,Revenue,Distance,duration_minute,revenue_minute,revenue_km,car_id,accum_distance,battery_left
RED,2017-01-08 12:40:27.110,2017-01-08 12:48:41.423,2.34,3,8.23855,0.284030563630736,0.7799999999999999,1,54,73.0
RED,2017-01-08 12:51:19.699,2017-01-08 12:52:01.346,0.0,0,0.6941166666666666,0.0,0.0,1,54,73.0
GREEN,2017-01-08 12:52:41.098,2017-01-08 14:12:47.426,0.0,0,80.10546666666667,0.0,0.0,1,54,73.0
RED,2017-01-08 14:15:44.874,2017-01-08 14:26:07.083,2.22,5,10.370149999999999,0.21407597768595443,0.44400000000000006,1,59,70.5
RED,2017-01-08 14:30:23.838,2017-01-08 17:42:03.755,33.29,76,191.66528333333332,0.17368821009751637,0.43802631578947365,1,135,32.5
GREEN,2017-01-08 17:42:09.988,2017-01-08 20:00:12.364,0.0,0,138.0396,0.0,0.0,1,135,32.5
RED,2017-01-08 20:04:44.335,2017-01-08 20:16:41.762,2.25,2,11.957116666666668,0.18817245517662423,1.125,1,137,31.5
RED,2017-01-08 20:30:52.476,2017-01-08 20:45:04.301,2.82,6,14.197083333333333,0.19863234819358436,0.47,1,143,28.5
RED,2017-01-08 20:48:24.821,2017-01-08 21:10:11.462,4.44,9,21.777350000000002,0.20388155583668352,0.4933333333333334,1,152,24.0
RED,2017-01-08 21:16:08.455,2017-01-08 21:39:07.122,4.64,10,22.97778333333333,0.20193418715324296,0.46399999999999997,1,10,95.0
GREEN,2017-01-09 06:43:10.028,2017-01-09 07:45:17.861,0.0,0,62.13055,0.0,0.0,1,10,95.0
RED,2017-01-09 07:45:31.014,2017-01-09 08:15:35.420,6.05,11,30.073433333333334,0.20117423684026764,0.5499999999999999,1,21,89.5
GREEN,2017-01-09 08:15:57.297,2017-01-09 08:17:24.469,0.0,0,1.4528666666666665,0.0,0.0,1,21,89.5
RED,2017-01-09 08:40:27.392,2017-01-09 09:00:24.890,5.21,4,19.9583,0.26104427731820845,1.3025,1,25,87.5
GREEN,2017-01-09 09:04:24.666,2017-01-09 11:26:28.209,0.0,0,142.05904999999998,0.0,0.0,1,25,87.5
RED,2017-01-09 11:31:43.314,2017-01-09 12:01:40.718,6.05,12,29.956733333333332,0.2019579348883167,0.5041666666666667,1,37,81.5
GREEN,2017-01-09 12:02:35.324,2017-01-09 12:03:04.916,0.0,0,0.49319999999999997,0.0,0.0,1,37,81.5
RED,2017-01-09 12:26:54.459,2017-01-09 12:44:49.781,3.51,7,17.92203333333333,0.1958483133424221,0.5014285714285714,1,44,78.0
RED,2017-01-09 13:01:11.730,2017-01-09 13:19:03.381,3.63,5,17.860850000000003,0.2032378078310942,0.726,1,49,75.5
RED,2017-01-09 13:24:53.713,2017-01-09 13:25:30.949,0.0,0,0.6205999999999999,0.0,0.0,1,49,75.5
GREEN,2017-01-09 13:33:43.608,2017-01-09 15:27:11.425,0.0,0,113.46361666666667,0.0,0.0,1,49,75.5
RED,2017-01-09 15:32:12.601,2017-01-09 15:45:41.760,2.82,5,13.485983333333333,0.20910599770873214,0.564,1,54,73.0
RED,2017-01-09 15:54:27.240,2017-01-09 16:20:36.210,4.87,6,26.1495,0.18623683053213255,0.8116666666666666,1,60,70.0
RED,2017-01-09 16:21:35.846,2017-01-09 16:28:55.656,1.61,2,7.330166666666667,0.2196402992201178,0.805,1,62,69.0
GREEN,2017-01-09 16:35:03.896,2017-01-09 16:37:41.255,0.0,0,2.62265,0.0,0.0,1,62,69.0
RED,2017-01-09 16:40:37.624,2017-01-09 17:07:45.733,5.45,17,27.13515,0.2008465035203417,0.3205882352941177,1,79,60.5
GREEN,2017-01-09 17:08:06.430,2017-01-09 17:08:42.460,0.0,0,0.6005,0.0,0.0,1,79,60.5
RED,2017-01-09 17:21:14.548,2017-01-09 17:45:10.400,6.25,5,23.930866666666667,0.26116897841838854,1.25,1,84,58.0
GREEN,2017-01-09 17:50:40.612,2017-01-09 17:55:30.507,0.0,0,4.831583333333333,0.0,0.0,1,84,58.0
RED,2017-01-09 18:02:31.444,2017-01-09 18:15:13.738,3.19,3,12.7049,0.2510842273453549,1.0633333333333332,1,87,56.5
GREEN,2017-01-09 18:20:36.060,2017-01-09 21:01:36.479,0.0,0,161.00698333333332,0.0,0.0,1,87,56.5
RED,2017-01-09 21:18:06.013,2017-01-09 21:27:47.297,2.86,2,9.688066666666666,0.29520853833926275,1.43,1,89,55.5
RED,2017-01-09 21:28:10.558,2017-01-09 21:47:25.581,4.95,11,19.250383333333332,0.25713773665113165,0.45,1,100,50.0
GREEN,2017-01-09 21:48:18.232,2017-01-09 22:20:14.121,0.0,0,31.931483333333333,0.0,0.0,1,100,50.0
RED,2017-01-09 22:20:23.056,2017-01-09 22:27:37.391,1.82,2,7.238916666666666,0.25141883569134427,0.91,1,102,49.0
GREEN,2017-01-09 22:29:43.162,2017-01-09 22:52:26.570,0.0,0,22.723466666666663,0.0,0.0,1,102,49.0
RED,2017-01-09 23:00:14.963,2017-01-09 23:10:17.254,2.02,4,10.038183333333334,0.20123163055732193,0.505,1,106,47.0
GREEN,2017-01-09 23:10:23.150,2017-01-10 07:18:49.967,0.0,0,488.44694999999996,0.0,0.0,1,106,47.0
RED,2017-01-10 07:36:19.308,2017-01-10 08:10:51.226,7.06,19,34.53196666666667,0.20444824553867477,0.371578947368421,1,125,37.5
RED,2017-01-10 08:13:17.091,2017-01-10 08:42:06.205,5.85,9,28.818566666666666,0.20299413456833962,0.6499999999999999,1,134,33.0
GREEN,2017-01-10 08:43:00.052,2017-01-11 09:09:04.362,0.0,0,1466.0718333333332,0.0,0.0,1,134,33.0
RED,2017-01-11 09:20:00.672,2017-01-11 09:38:21.172,4.95,5,18.341666666666665,0.26987732848705137,0.99,1,139,30.5
RED,2017-01-11 09:39:26.759,2017-01-11 09:49:08.299,2.02,3,9.692333333333332,0.20841214705781205,0.6733333333333333,1,142,29.0
GREEN,2017-01-11 09:51:08.315,2017-01-11 14:00:20.632,0.0,0,249.2052833333333,0.0,0.0,1,142,29.0
RED,2017-01-11 14:08:12.291,2017-01-11 14:18:24.850,2.02,4,10.209316666666666,0.1978584919983218,0.505,1,146,27.0
RED,2017-01-11 14:21:45.332,2017-01-11 14:34:21.908,2.62,3,12.6096,0.20777820073594722,0.8733333333333334,1,149,25.5
GREEN,2017-01-11 14:34:39.893,2017-01-11 14:37:42.834,0.0,0,3.0490166666666667,0.0,0.0,1,149,25.5
RED,2017-01-11 14:53:32.829,2017-01-11 15:03:36.011,1.89,2,10.053033333333333,0.18800295764794042,0.945,1,151,24.5
GREEN,2017-01-11 15:10:20.730,2017-01-11 15:19:47.266,0.0,0,9.442266666666665,0.0,0.0,1,151,24.5
RED,2017-01-11 16:06:52.320,2017-01-11 16:24:00.653,3.43,6,17.138883333333336,0.20012972451530778,0.5716666666666667,1,157,21.5
GREEN,2017-01-11 16:26:17.972,2017-01-11 16:33:35.247,0.0,0,7.287916666666666,0.0,0.0,1,157,21.5
RED,2017-01-11 16:51:25.505,2017-01-11 16:58:49.439,1.41,2,7.3989,0.19056886834529455,0.705,1,159,20.5
RED,2017-01-11 17:06:50.756,2017-01-11 17:25:05.223,3.63,5,18.241116666666667,0.19900097490376595,0.726,1,5,97.5
GREEN,2017-01-12 03:10:00.066,2017-01-12 07:22:22.604,0.0,0,252.37563333333335,0.0,0.0,1,5,97.5
RED,2017-01-12 07:49:59.922,2017-01-12 07:55:27.320,1.13,1,5.4566333333333334,0.20708739821257305,1.13,1,6,97.0
GREEN,2017-01-12 07:58:34.501,2017-01-12 07:59:54.438,0.0,0,1.3322833333333333,0.0,0.0,1,6,97.0
RED,2017-01-12 08:04:11.164,2017-01-12 08:23:15.992,3.75,6,19.080466666666666,0.19653607354117825,0.625,1,12,94.0
